CodeAdmin;DRE;IEPP;NOM_ETABLISSEMENT;Village;Latitude;Longitude;Privé
50710P087C;DRE KARA;IEPP KOZAH CENTRE;EPE TCHITCHINIDA;VILLEDEKARA;9,54196;1,211313;1
50203P005P;DRE KARA;IEPP BASSAR NORD;EPP BAMDE;SANDA-AFOHOU;9,54164;0,989726;0
50710P089C;DRE KARA;IEPP KOZAH CENTRE;EPI EL ILMIYA;VILLEDEKARA;9,540713333;1,193146667;1
50710P006P;DRE KARA;IEPP KOZAH CENTRE;EPP AGAMADE G/B;VILLEDEKARA;9,539969;1,169607;0
50710P005P;DRE KARA;IEPP KOZAH CENTRE;EPP AGAMADE G/A;VILLEDEKARA;9,539616;1,169583;0
50405P076P;DRE KARA;IEPP DANKPEN;EPP KPATCHILE G/A;KPATCHILE;9,539241;0,580397;0
50405P070P;DRE KARA;IEPP DANKPEN;EPP KPANDJA;NANDOUTA;9,538871;0,322742;0
50710P008P;DRE KARA;IEPP KOZAH CENTRE;EPP AGNARAM G/B;VILLEDEKARA;9,538568;1,20339;0
50710P009P;DRE KARA;IEPP KOZAH CENTRE;EPP AGNARAM G/C;VILLEDEKARA;9,538517;1,203376;0
50405P077P;DRE KARA;IEPP DANKPEN;EPP KPATCHILE G/B;KPATCHILE;9,538508;0,580222;0
50710P007P;DRE KARA;IEPP KOZAH CENTRE;EPP AGNARAM G/A;VILLEDEKARA;9,538376;1,203268;0
50405P073P;DRE KARA;IEPP DANKPEN;EPP KPATALDO;KPATALDO;9,537552;0,343953;0
50710P035P;DRE KARA;IEPP KOZAH CENTRE;EPP KARA SUD G/C;VILLEDEKARA;9,537225;1,196074;0
50710P033P;DRE KARA;IEPP KOZAH CENTRE;EPP KARA SUD G/A;VILLEDEKARA;9,537211;1,19625;0
50710P034P;DRE KARA;IEPP KOZAH CENTRE;EPP KARA SUD G/B;VILLEDEKARA;9,537205;1,196196;0
50710P040P;DRE KARA;IEPP KOZAH CENTRE;EPP KPELOUWAYI G/A;VILLEDEKARA;9,535166;1,187563;0
50710P112P;DRE KARA;IEPP KOZAH CENTRE;EPP KPELOUWAYI G/B;VILLEDEKARA;9,535166;1,187563;0
50405P009P;DRE KARA;IEPP DANKPEN;EPP BORBOGOU;BORBOGOU1;9,532743;0,600305;0
50710P101L;DRE KARA;IEPP KOZAH CENTRE;EPL MON DESTIN;VILLEDEKARA;9,53169;1,202657;1
50710P094P;DRE KARA;IEPP KOZAH CENTRE;EPP ADJAMBISSI;VILLEDEKARA;9,531381667;1,196033333;0
50710P001P;DRE KARA;IEPP KOZAH CENTRE;EPA ENI KARA G/A;VILLEDEKARA;9,530862;1,206738;1
50710P091P;DRE KARA;IEPP KOZAH CENTRE;EPA ENI KARA G/B;VILLEDEKARA;9,530862;1,206738;1
50203P082P;DRE KARA;IEPP BASSAR NORD;EPP SANDA-TE G/B;THE;9,529975;0,901645;0
50203P058P;DRE KARA;IEPP BASSAR NORD;EPP PITANKPARE;BITANKPARE;9,528933;0,930178;0
50203P013P;DRE KARA;IEPP BASSAR NORD;EPP DIDOUTIKPRE;DIKOUNTOUNDI1;9,528909;0,739481;0
50405P005P;DRE KARA;IEPP DANKPEN;EPP BAPURE;BAPURE-CENTRE/DIDAOURE;9,528155;0,61616;0
50710P093C;DRE KARA;IEPP KOZAH CENTRE;EPC LA PROVIDENCE;VILLEDEKARA;9,528033333;1,182853333;1
50405P103P;DRE KARA;IEPP DANKPEN;EPP NANANI;NANANI;9,526607;0,67305;0
50708P002P;DRE KARA;IEPP KOZAH SUD;EPP ABOUDA;AGBANGTCHOOU;9,525309;1,235977;0
50405P067P;DRE KARA;IEPP DANKPEN;EPP KPABOL;KPABOL;9,524703;0,321337;0
50710P054P;DRE KARA;IEPP KOZAH CENTRE;EPP TCHANNADE G/B;VILLEDEKARA;9,524423;1,189702;0
50710P053P;DRE KARA;IEPP KOZAH CENTRE;EPP TCHANNADE G/A;VILLEDEKARA;9,524309;1,189896;0
50710P002P;DRE KARA;IEPP KOZAH CENTRE;EPP SOUNDOULOW;VILLEDEKARA;9,523971;1,216829;0
50405P134P;DRE KARA;IEPP DANKPEN;EPP TANAGNIDO;TANAGNIDO;9,520797;0,576127;0
50203P064P;DRE KARA;IEPP BASSAR NORD;EPP TAMPIDO;TAMPIDO;9,520349;0,694129;0
50405P129P;DRE KARA;IEPP DANKPEN;EPP POUTAMELE;POUTAMELE;9,518865;0,557602;0
50203P043P;DRE KARA;IEPP BASSAR NORD;EPP KOUNDOUNTA;KOUNDOUTA;9,518418;0,873851;0
50203P077P;DRE KARA;IEPP BASSAR NORD;EPP MAKOUYA;MAKOUYA(ouN'KASSAYE);9,517111667;0,778855;0
50708P035P;DRE KARA;IEPP KOZAH SUD;EPP KPANZINDE;KPINZINDE;9,51546;1,278248;0
50708P021P;DRE KARA;IEPP KOZAH SUD;EPP DJAMDE G/B;BOUDA(DJAMDE);9,513726;1,048126;0
50708P020P;DRE KARA;IEPP KOZAH SUD;EPP DJAMDE G/A;BOUDA(DJAMDE);9,51333;1,048984;0
50405P104P;DRE KARA;IEPP DANKPEN;EPP NANDJAL;NANDJAL;9,513189;0,612;0
50405P010P;DRE KARA;IEPP DANKPEN;EPP BORLE;BORLE/BITCHAKPABE1;9,513158333;0,611975;0
50405P032P;DRE KARA;IEPP DANKPEN;EPP IBOBO;IBOBO1;9,511647;0,500529;0
50203P032P;DRE KARA;IEPP BASSAR NORD;EPP KALIADA;SANDA-AFOHOU;9,511246;0,948554;0
50405P050P;DRE KARA;IEPP DANKPEN;EPP KLOUKPON;KLOUKPON;9,511229;0,436454;0
50203P060P;DRE KARA;IEPP BASSAR NORD;EPP SANDA TE G/A;KAGBANDA;9,509817;0,909279;0
50710P097L;DRE KARA;IEPP KOZAH CENTRE;EPL HG SOS KARA G/A;VILLEDEKARA;9,509216;1,20515;1
50710P110P;DRE KARA;IEPP KOZAH CENTRE;EPP ATTEDA/B;VILLEDEKARA;9,508693333;1,20804;0
50710P108L;DRE KARA;IEPP KOZAH CENTRE;EPL CENTRE DES AVEUGLES KARA (CASPA K);VILLEDEKARA;9,507536667;1,20845;1
50710P012P;DRE KARA;IEPP KOZAH CENTRE;EPP ATTEDA G/A;VILLEDEKARA;9,506295;1,207863;0
50304P069P;DRE KARA;IEPP BINAH;EPP SOGODE;AMONDE;9,505217;1,336004;0
50304P056P;DRE KARA;IEPP BINAH;EPP N'DJEI G/B;N'DJEYI;9,502124;1,357114;0
50304P055P;DRE KARA;IEPP BINAH;EPP N'DJEI G/A;N'DJEYI;9,502073;1,357126;0
50405P148P;DRE KARA;IEPP DANKPEN;EPP YAKINDO;YAKINDO;9,49948;0,661112;0
50708P033P;DRE KARA;IEPP KOZAH SUD;EPP KPANDEDA;ADOMDE;9,497967;1,231303;0
50203P084P;DRE KARA;IEPP BASSAR NORD;EPP KPALOU MANGA G/B;BIKOMBE;9,495361667;0,677743333;0
50405P057P;DRE KARA;IEPP DANKPEN;EPP KOUKPONE;KOUKPONE;9,494835;0,316334;0
50708P028P;DRE KARA;IEPP KOZAH SUD;EPP KODODA;KPINZINDE;9,490485;1,261605;0
50708P041P;DRE KARA;IEPP KOZAH SUD;EPP SEYO;KPINZINDE;9,49018;1,298128;0
50405P098P;DRE KARA;IEPP DANKPEN;EPP NAMOL;NAMOL;9,489603;0,566055;0
50708P053P;DRE KARA;IEPP KOZAH SUD;EPP WELOU;WELOU;9,489055;1,159632;0
50203P010P;DRE KARA;IEPP BASSAR NORD;EPP BITANDJOULE;ASSONKIDJOMAN;9,487363;0,83078;0
50405P137P;DRE KARA;IEPP DANKPEN;EPP TAYARDO;TAYARDO;9,487294;0,600875;0
