CodeAdmin;DRE;IEPP;NOM_ETABLISSEMENT;Village;Latitude;Longitude
30610P099L;DRE PLATEAUX;IEPP KLOTO EST;EPL MONTCHO;AGOMEKUSUNTU;6,930881667;0,60783
30611P072L;DRE PLATEAUX;IEPP KLOTO OUEST;CENTRE DES AVEUGLES;AGOMEKUSUNTU;6,93083;0,60612
30204P054P;DRE PLATEAUX;IEPP HAHO SUD;EPA ENI NOTSE;NOTSEVILLE;6,92953;1,178623333
30610P063C;DRE PLATEAUX;IEPP KLOTO EST;EPC MERE CAROLINA BELTRAMI(ancienne LORIS MIRKO FAVUZZI;AGOME-KPALIME;6,92848;0,654258333
30610P109L;DRE PLATEAUX;IEPP KLOTO EST;EPL ACADEMIE LA RENAISSANCE;AGOME-KPALIME;6,926908333;0,61767
30610P111C;DRE PLATEAUX;IEPP KLOTO EST;EPE ALL NATIONS ACADEMIC;AGOME-KPALIME;6,924448333;0,650091667
30610P091L;DRE PLATEAUX;IEPP KLOTO EST;EPL MARTIN LUTHER KING JR.;AGOME-KPALIME;6,924147;0,632945
30611P056C;DRE PLATEAUX;IEPP KLOTO OUEST;EPC AGOME KUSUNTU;AGOMEKUSUNTU;6,923984;0,615823
30610P090L;DRE PLATEAUX;IEPP KLOTO EST;EPL LE SALUT;AGOME-KPALIME;6,923071;0,643019
30610P074C;DRE PLATEAUX;IEPP KLOTO EST;EPE BAPT.BIBL. KPEGOLONOU;AGOME-KPALIME;6,920422;0,620978
30610P086L;DRE PLATEAUX;IEPP KLOTO EST;EPL LA PROMOTION 1;AGOME-KPALIME;6,920274;0,637142
30610P104L;DRE PLATEAUX;IEPP KLOTO EST;EPL LES MERVEILLES;AGOME-KPALIME;6,919626667;0,630048333
30610P079L;DRE PLATEAUX;IEPP KLOTO EST;EPL ENFANT EPANOUI'ancienCSF ENFANT EPANOUI);AGOME-KPALIME;6,919168;0,626974
30610P085L;DRE PLATEAUX;IEPP KLOTO EST;EPL GUSTAV NACHTIGAL;AGOME-KPALIME;6,918081;0,634563
30610P059C;DRE PLATEAUX;IEPP KLOTO EST;EPC CHRIST ROI (ancienneA+B);AGOME-KPALIME;6,917322;0,637256
30611P066C;DRE PLATEAUX;IEPP KLOTO OUEST;EPE HANYIGBA DUGA;HANYIGBADUGA;6,914888;0,607791
30611P081L;DRE PLATEAUX;IEPP KLOTO OUEST;EPL VERCHIS;AGOMEKUSUNTU;6,914866667;0,626198333
30610P066C;DRE PLATEAUX;IEPP KLOTO EST;EPC NOGO;AGOME-KPALIME;6,914258;0,646804
30610P093L;DRE PLATEAUX;IEPP KLOTO EST;EPL INSTITUT LA SORBONNE;AGOME-KPALIME;6,912339;0,642982
30610P077C;DRE PLATEAUX;IEPP KLOTO EST;EPE NUMETUKODZI G/A;AGOME-KPALIME;6,911783;0,641457
30610P078C;DRE PLATEAUX;IEPP KLOTO EST;EPE NUMETUKODZI G/B;AGOME-KPALIME;6,911783;0,641457
30610P107L;DRE PLATEAUX;IEPP KLOTO EST;LAIC DAROUL OULOUM;AGOME-KPALIME;6,911346667;0,634086667
30611P063C;DRE PLATEAUX;IEPP KLOTO OUEST;EPE TEMPLE;AGOME-KPALIME;6,911088;0,629565
30610P088L;DRE PLATEAUX;IEPP KLOTO EST;EPL LA VIE UTILE;AGOME-KPALIME;6,910118;0,636805
30610P082L;DRE PLATEAUX;IEPP KLOTO EST;EPL DAR ES SALAM;AGOME-KPALIME;6,908146;0,644899
30611P090C;DRE PLATEAUX;IEPP KLOTO OUEST;EPE HLETIVIKODZI;AGOME-KPALIME;6,908135;0,615273333
30611P052C;DRE PLATEAUX;IEPP KLOTO OUEST;EPC SAINT ESPRIT KPALIME;AGOME-KPALIME;6,907244;0,62971
30610P070C;DRE PLATEAUX;IEPP KLOTO EST;EPC TSIHINU G/A(ancienne TSIHINU A+C);AGOME-KPALIME;6,906584;0,641938
30610P072C;DRE PLATEAUX;IEPP KLOTO EST;EPC TSIHINU G/B;AGOME-KPALIME;6,906584;0,641938
30611P077L;DRE PLATEAUX;IEPP KLOTO OUEST;EPL L'AVENIR;AGOME-KPALIME;6,905796667;0,626218333
30611P050C;DRE PLATEAUX;IEPP KLOTO OUEST;EPC NDE KPALIME;AGOME-KPALIME;6,905392;0,631935
30611P060C;DRE PLATEAUX;IEPP KLOTO OUEST;EPC HANYIGBA DUGA;HANYIGBADUGA;6,903276;0,610808
30610P067C;DRE PLATEAUX;IEPP KLOTO EST;EPC SAINT J BAPTISTE DE KPOGADZI;AGOME-KPALIME;6,902189;0,652814
30610P080L;DRE PLATEAUX;IEPP KLOTO EST;EPL BEAU SOLEIL;AGOME-KPALIME;6,901948;0,638299
30610P106C;DRE PLATEAUX;IEPP KLOTO EST;EPL CITAPA;AGOME-KPALIME;6,901691667;0,644256667
30611P076L;DRE PLATEAUX;IEPP KLOTO OUEST;EPL LA GRACE;AGOME-KPALIME;6,900772;0,629225
30610P108L;DRE PLATEAUX;IEPP KLOTO EST;EPL LUMIERE DES NATIONS;AGOME-KPALIME;6,900543;0,650923
30611P080L;DRE PLATEAUX;IEPP KLOTO OUEST;EPL SAINT AGNEAU;AGOME-KPALIME;6,900148;0,633735
30611P083L;DRE PLATEAUX;IEPP KLOTO OUEST;EPL BONNE SEMENCE;AGOME-KPALIME;6,89924;0,627193
30610P089L;DRE PLATEAUX;IEPP KLOTO EST;EPL LE MONDE;AGOME-KPALIME;6,898631;0,642232
30712P139L;DRE PLATEAUX;IEPP AGOU;EPL ENGEL ET VOLKERS;NYOGBOAGBETIKO;6,896986667;0,733241667
30611P075L;DRE PLATEAUX;IEPP KLOTO OUEST;EPL JESUS SAUVE;AGOME-KPALIME;6,896962;0,62911
30610P092L;DRE PLATEAUX;IEPP KLOTO EST;EPL SCIENCE ET CONSCIENCE;AGOME-KPALIME;6,896143;0,639717
30611P048C;DRE PLATEAUX;IEPP KLOTO OUEST;EPC HANYIGBA TODZI;HANYIGBATODZI;6,895837;0,568449
30611P064C;DRE PLATEAUX;IEPP KLOTO OUEST;EPE AGOME TOMEGBE;AGOMETOMEGBE;6,895016;0,560302
30204P126C;DRE PLATEAUX;IEPP HAHO SUD;EPC JEAN BOSCO DE DIDOME;NOTSEVILLE;6,894923;1,087027
30611P051C;DRE PLATEAUX;IEPP KLOTO OUEST;EPC SACRE COEUR KPALIME;AGOME-KPALIME;6,893356;0,632751
30712P118C;DRE PLATEAUX;IEPP AGOU;EPE KATI;KATI;6,890691;0,851407
30712P097C;DRE PLATEAUX;IEPP AGOU;EPC KATI G/B;KATI-KPEKUIME;6,890669;0,848219
30712P108C;DRE PLATEAUX;IEPP AGOU;EPE AGOU AKPLOLO;ADAH;6,889873;0,771702
30712P119E;DRE PLATEAUX;IEPP AGOU;EPE NYOGBO AGBETIKO;NYOGBOAGBETIKO;6,888814;0,728281
30204P140C;DRE PLATEAUX;IEPP HAHO SUD;EPE KLOEGNAME;KLOEGNAME;6,887609;1,249792
30712P098C;DRE PLATEAUX;IEPP AGOU;EPC KATI G/A;KATI-KPEKUIME;6,886832;0,847764
30204P128C;DRE PLATEAUX;IEPP HAHO SUD;EPC BATOUME;HAHOMEGBE;6,884389;0,975116
30712P104C;DRE PLATEAUX;IEPP AGOU;EPC XEVIKODZI;ADAME;6,88395;0,838776
30611P053C;DRE PLATEAUX;IEPP KLOTO OUEST;EPC TOVE AGBESSIA;TOVEAGBESSIA;6,883657;0,667264
30712P112C;DRE PLATEAUX;IEPP AGOU;EPE NYOGBO;AGOUNYOGBO;6,879516;0,724821
30611P069C;DRE PLATEAUX;IEPP KLOTO OUEST;EPE TOVE;TOVEATI;6,877872;0,649201
30712P114C;DRE PLATEAUX;IEPP AGOU;EPE AGOU YIBOE;ADAH;6,876616;0,787725
30712P094C;DRE PLATEAUX;IEPP AGOU;EPC AGOU NYOGBO;AGOUNYOGBO;6,876529;0,723184
30611P073L;DRE PLATEAUX;IEPP KLOTO OUEST;EPL EMMANUEL DE TOVE;TOVEATI;6,875193;0,651801
30611P054C;DRE PLATEAUX;IEPP KLOTO OUEST;EPC TOVE DZIGBE;TOVEDZIGBE;6,872248;0,653331
30712P110C;DRE PLATEAUX;IEPP AGOU;EPE DOGBADZI;ADZAKPA;6,870129;0,733725
30712P107C;DRE PLATEAUX;IEPP AGOU;EPC SAINTE ANNE DE KEBO KPETA;KPETA;6,867167;0,73716
30611P059C;DRE PLATEAUX;IEPP KLOTO OUEST;EPC GBALAVE AVENON;GBALAVEAVENON;6,863596;0,600303
30712P093C;DRE PLATEAUX;IEPP AGOU;EPC AGOU AFEGAME;ADAME;6,853251;0,726338
30611P055C;DRE PLATEAUX;IEPP KLOTO OUEST;EPC WOME;WOME;6,848158;0,569536
30611P057C;DRE PLATEAUX;IEPP KLOTO OUEST;EPC ATCHAVE MODESEPE;TOVEAGBESSIA;6,847888;0,647862
30712P100C;DRE PLATEAUX;IEPP AGOU;EPC KOUMAWOU;ADAME;6,847764;0,727141
30611P070C;DRE PLATEAUX;IEPP KLOTO OUEST;EPE WOME;WOME;6,847491;0,574816
30204P213L;DRE PLATEAUX;IEPP HAHO SUD;EPL ROSA GOVONE;ATCHAVE;6,847271667;1,182368333
30712P122L;DRE PLATEAUX;IEPP AGOU;EPL ETOILE DU MATIN;ADAME;6,846328;0,731812
30712P117C;DRE PLATEAUX;IEPP AGOU;EPE GADZEFE;VILLED'AGOU-GADZEPE;6,846271667;0,711126667
30611P061C;DRE PLATEAUX;IEPP KLOTO OUEST;EPC KPADAPE;KPADAPE;6,842102;0,59583
30712P106C;DRE PLATEAUX;IEPP AGOU;EPC SAINT A DE PADOUE DE GADZEFE;VILLED'AGOU-GADZEPE;6,838282;0,71202
30712P111C;DRE PLATEAUX;IEPP AGOU;EPE KLONOU;AGOU-KLONOU;6,835584;0,680611
30204P136C;DRE PLATEAUX;IEPP HAHO SUD;EPE DALIA BEGBE;DALIABEGBE;6,835045;1,215536
30712P099C;DRE PLATEAUX;IEPP AGOU;EPC KLONOU;AGOHOE;6,833349;0,677393
30204P200C;DRE PLATEAUX;IEPP HAHO SUD;EPE AGOTO;ATCHAVE;6,815014;1,327267
30712P109C;DRE PLATEAUX;IEPP AGOU;EPE AVETONOU;AVETONOU;6,797997;0,798164
30712P096C;DRE PLATEAUX;IEPP AGOU;EPC AVETONOU;AVETONOU;6,794409;0,798537
20508P059C;DRE MARITIME;IEPP YOTO OUEST;EPC ADJOVE;DOKOR;6,794012;1,352705
20610P115C;DRE MARITIME;IEPP ZIO NORD;EPE GAME-FOKPE;WONOUGBA;6,7918;0,960783333
20507P102C;DRE MARITIME;IEPP YOTO EST;EPC DONOMADE;DONOMADE;6,791046667;1,531315
20508P069C;DRE MARITIME;IEPP YOTO OUEST;EPC LALIKPE;DOKOR;6,789386667;1,2754
30712P095C;DRE PLATEAUX;IEPP AGOU;EPC AVENOKOPE;ADAME;6,785021;0,66408
20507P092C;DRE MARITIME;IEPP YOTO EST;EPC AVEGODOE;ABOSSEHOE;6,783833333;1,576893333
30204P190L;DRE PLATEAUX;IEPP HAHO SUD;EPL CUORI GRANDI;AMAKPAPE;6,783815;1,171748333
20507P113C;DRE MARITIME;IEPP YOTO EST;EPE METHODISTE ZOUVI;ZOUVI;6,780513;1,512208
30204P129C;DRE PLATEAUX;IEPP HAHO SUD;EPC AMAKPAPE;AMAKPAPE;6,777227;1,179239
30611P058C;DRE PLATEAUX;IEPP KLOTO OUEST;EPC AVEXO;KPADAPE;6,774487;0,607222
20508P074C;DRE MARITIME;IEPP YOTO OUEST;EPC ZANGUERA;DOKOR;6,768937;1,292912
30712P121L;DRE PLATEAUX;IEPP AGOU;EPL GILGAL;GADZAGAN;6,760517;0,838149
20507P106C;DRE MARITIME;IEPP YOTO EST;EPE ALAKPADJI;TOMETYKONDJI;6,757301667;1,551608333
20507P117L;DRE MARITIME;IEPP YOTO EST;EPL CREDO;ABOSSEHOE;6,757115;1,577564
20610P111C;DRE MARITIME;IEPP ZIO NORD;EPC GAME-SEVA;GAMESEVA;6,729778333;1,171423333
20610P120L;DRE MARITIME;IEPP ZIO NORD;EPL LA FOURMI;GAMESEVA;6,728864;1,174211
20507P108C;DRE MARITIME;IEPP YOTO EST;EPE METHODISTE GBOTO ZEVE;GBOTO-ZEVE;6,710833333;1,477113333
20507P103C;DRE MARITIME;IEPP YOTO EST;EPC ESSE ANA;ESSE-ANA;6,710473333;1,563806667
30712P137L;DRE PLATEAUX;IEPP AGOU;EPL KEKELI;AKOUMASSE;6,706183333;0,683546667
20507P094C;DRE MARITIME;IEPP YOTO EST;EPC GBOTO ZEVE;GBOTO-ZEVE;6,70501;1,475526667
20610P113C;DRE MARITIME;IEPP ZIO NORD;EPC GAPE-AGOKOPE;GAPEKPODJI;6,699057;0,982865
30712P123L;DRE PLATEAUX;IEPP AGOU;EPL MAHANAIM CANA;AGBADZI;6,699001;0,82479
30712P103C;DRE PLATEAUX;IEPP AGOU;EPC TAGBOLOKOPE;AGNYKOPE/AGBUIKOPE;6,685412;0,767751
20507P111C;DRE MARITIME;IEPP YOTO EST;EPE METHODISTE GBOTO KOSSIDAME;GBOTO-KOSSIDAME;6,684823;1,483609
20508P058C;DRE MARITIME;IEPP YOTO OUEST;EPC ADIKPE;DOKOR;6,681549;1,343734
20507P095C;DRE MARITIME;IEPP YOTO EST;EPC GBOTO KOSSIDAME;GBOTO-KOSSIDAME;6,67813;1,480414
30712P102C;DRE PLATEAUX;IEPP AGOU;EPC WOUKPO;AGNYKOPE/AGBUIKOPE;6,676619;0,854503
20610P109C;DRE MARITIME;IEPP ZIO NORD;EPC AGBELOUVE;AGBELOUVE;6,676448;1,166237
20508P096C;DRE MARITIME;IEPP YOTO OUEST;EPE METHODISTE KOUVE ATSAPE;KOUVE;6,674091667;1,409858333
20610P122L;DRE MARITIME;IEPP ZIO NORD;EPL LA SAGESSE;AGBELOUVE;6,673544;1,166864
20611P209L;DRE MARITIME;IEPP ZIO SUD;EPL LA SAGESSE;DAVIE-TEKPO;6,673544;1,166864
20610P110C;DRE MARITIME;IEPP ZIO NORD;EPC AVEDZE;AVEDZE;6,671698;1,238655
30712P140C;DRE PLATEAUX;IEPP AGOU;EPE DOGLOBO;AGNYKOPE/AGBUIKOPE;6,6706;0,8019
20507P096C;DRE MARITIME;IEPP YOTO EST;EPC GBOTO ZOGBE;ATSAME;6,670036667;1,514293333
20610P138L;DRE MARITIME;IEPP ZIO NORD;EPL LA CONSOLATION;AGBELOUVE;6,669103333;1,167586667
20508P067C;DRE MARITIME;IEPP YOTO OUEST;EPC KOUVE GBOLI;KOUVE;6,668847;1,420573
30712P124L;DRE PLATEAUX;IEPP AGOU;EPL SAINTS DE DIEU AMEGAVIKOPE;WOTSIKPO;6,666185;0,814957
20611P065C;DRE MARITIME;IEPP ZIO SUD;EPC ABOBO;ABOBO;6,664615;1,214525
20507P109C;DRE MARITIME;IEPP YOTO EST;EPE METHODISTE GBOTO ASSIGAME;GBOTO-ASSIGAME;6,662908;1,500969
20508P065C;DRE MARITIME;IEPP YOTO OUEST;EPC BETTANI G/C;KOUVE;6,660129;1,415229
30712P101C;DRE PLATEAUX;IEPP AGOU;EPC MASNUTI D'AMOUSSOUKOPE;AMOUSSOUKOPE;6,659803;0,848228
20508P063C;DRE MARITIME;IEPP YOTO OUEST;EPC BETTANI G/A;KOUVE;6,659266;1,412365
20508P064C;DRE MARITIME;IEPP YOTO OUEST;EPC BETTANI G/B;KOUVE;6,659084;1,41239
20508P075L;DRE MARITIME;IEPP YOTO OUEST;EPL BENEDICTA;KOUVE;6,658881;1,40773
20508P068C;DRE MARITIME;IEPP YOTO OUEST;EPC KOUVE ATRAN;KOUVE;6,657467;1,403117
20507P099C;DRE MARITIME;IEPP YOTO EST;EPC ADABADJIKONDJI;ADABADIKONDJI;6,652223333;1,547261667
30712P138C;DRE PLATEAUX;IEPP AGOU;EPE AWLIME KOPE;AGNYKOPE/AGBUIKOPE;6,649833333;0,755663333
20507P133L;DRE MARITIME;IEPP YOTO EST;EPL ORPHELINAT CAEEDO;AFANTODJIKONDJI;6,635188333;1,499791667
20508P081C;DRE MARITIME;IEPP YOTO OUEST;EPE METHODISTE ZAFI;ETCHRAMI;6,625641;1,374686
20508P076L;DRE MARITIME;IEPP YOTO OUEST;EPL BONNE ESPERANCE ZAFI;ETCHRAMI;6,624115;1,374365
20508P073C;DRE MARITIME;IEPP YOTO OUEST;EPC ZAFI;DOKOR;6,622366;1,375737
30712P131C;DRE PLATEAUX;IEPP AGOU;EPE EMMAUS;ADAME;6,621702;0,756176
20507P093C;DRE MARITIME;IEPP YOTO EST;EPC DOUDAVA;VILLEDETABLIGBO;6,620651667;1,472991667
20202P108C;DRE MARITIME;IEPP AVE;EPC KOUDASSI GARE;KOUDASSIGARE;6,616112;0,867185
20508P061C;DRE MARITIME;IEPP YOTO OUEST;EPC AHEPE KPOKLI;AHEPEAKPOSSO;6,607513;1,379736
20610P130C;DRE MARITIME;IEPP ZIO NORD;EPC GAPE-AVELEBE;AVELEBE;6,60707;1,019951
20508P070C;DRE MARITIME;IEPP YOTO OUEST;EPC PROVIDENCE;AHEPEAPEDOME/AHEPECENTRE;6,605301;1,404509
20507P114C;DRE MARITIME;IEPP YOTO EST;EPE TABLIGBO;VILLEDETABLIGBO;6,60488;1,499525
20610P144L;DRE MARITIME;IEPP ZIO NORD;EPL LE REVEIL D'OR;GAPECENTRE+TOUTOUKOPE(F);6,602536667;1,108678333
20610P114C;DRE MARITIME;IEPP ZIO NORD;EPC GAPE-CENTRE;GAPECENTRE+TOUTOUKOPE(F);6,601312;1,103779
20508P080C;DRE MARITIME;IEPP YOTO OUEST;EPE AGBEBOLO;AHEPEAKPOSSO;6,600494;1,386654
20507P118L;DRE MARITIME;IEPP YOTO EST;EPL JEREMIE;VILLEDETABLIGBO;6,599305;1,490486667
20508P079C;DRE MARITIME;IEPP YOTO OUEST;EPE AHEPE KPOWLA;AHEPEKPOWLA;6,598316667;1,388721667
20507P115L;DRE MARITIME;IEPP YOTO EST;EPL CONFIANCE;VILLEDETABLIGBO;6,597586667;1,495375
20507P143L;DRE MARITIME;IEPP YOTO EST;EPL LAVOISIER;VILLEDETABLIGBO;6,594576667;1,487271667
20507P112C;DRE MARITIME;IEPP YOTO EST;EPE METHODISTE TABLIGBO;VILLEDETABLIGBO;6,594255;1,50297
20610P134C;DRE MARITIME;IEPP ZIO NORD;EPC GAPE-AVEGAN;ATCHANVE;6,594001;1,015618
20508P062C;DRE MARITIME;IEPP YOTO OUEST;EPC AHEPE NOTSE;AHEPENOTSE;6,593817;1,385051
20507P119L;DRE MARITIME;IEPP YOTO EST;EPL MATELOT;VILLEDETABLIGBO;6,5932;1,50019
20507P116L;DRE MARITIME;IEPP YOTO EST;EPL LA REFERENCE POSSITIVE;VILLEDETABLIGBO;6,593048333;1,493763333
20610P117L;DRE MARITIME;IEPP ZIO NORD;EPL ELIKPLIM;GAPECENTRE+TOUTOUKOPE(F);6,592264;1,108723
20507P142L;DRE MARITIME;IEPP YOTO EST;EPL LA PROVIDENTIA;VILLEDETABLIGBO;6,591551667;1,487243333
20507P120L;DRE MARITIME;IEPP YOTO EST;EPL REDEMPTEUR;VILLEDETABLIGBO;6,591378333;1,49752
20507P136L;DRE MARITIME;IEPP YOTO EST;EPL FRANCO ARABE(LUMIIERE);VILLEDETABLIGBO;6,588413333;1,490821667
20507P098C;DRE MARITIME;IEPP YOTO EST;EPC TABLIGBO G/B;VILLEDETABLIGBO;6,585281667;1,493345
20507P097C;DRE MARITIME;IEPP YOTO EST;EPC TABLIGBO G/A;VILLEDETABLIGBO;6,585266667;1,49338
20610P129C;DRE MARITIME;IEPP ZIO NORD;EPC GAPE-ATCHANVE;ATCHANVE;6,578233;0,989605
20202P113C;DRE MARITIME;IEPP AVE;EPC TOVEGAN;AGBESSIA;6,571376;0,896851
20101P093C;DRE MARITIME;IEPP BAS MONO;EPC AGOME GLOZOU G/A;AGOME-GLOZOU;6,555171;1,667138
20609P089C;DRE MARITIME;IEPP ZIO CENTRE;EPC LILIKOPE;LILIKOPE;6,554956;1,185109
20101P094C;DRE MARITIME;IEPP BAS MONO;EPC AGOME GLOZOU G/B;AGOME-GLOZOU;6,542191;1,692838
20508P078C;DRE MARITIME;IEPP YOTO OUEST;EPE TCHEKPO DEDEKPOE;TCHEKPO-DEDEKPOE;6,540033;1,354469
20101P111C;DRE MARITIME;IEPP BAS MONO;EPE KPESSOU;KPETSOU;6,533498333;1,57624
20508P071C;DRE MARITIME;IEPP YOTO OUEST;EPC TCHEKPO DEDEKPOE;TCHEKPO-DEDEKPOE;6,531643333;1,36456
20101P091C;DRE MARITIME;IEPP BAS MONO;EPC KPESSOU G/B;KPETSOU;6,526509;1,582287
20101P129C;DRE MARITIME;IEPP BAS MONO;EPC KPESSOU G/A;KPETSOU;6,526509;1,582287
20609P078C;DRE MARITIME;IEPP ZIO CENTRE;EPC ADANGBE;ADANGBE;6,526105;1,29838
20609P149C;DRE MARITIME;IEPP ZIO CENTRE;EPI DE WATARAKOPE;GBLAINVIE;6,524767;1,057309
20609P144C;DRE MARITIME;IEPP ZIO CENTRE;EPC KPOGURE;GBLAINVIE;6,514977;1,049485
20202P112C;DRE MARITIME;IEPP AVE;EPC SAINT JOSEPH ANYRON;AFIADEGNIGBA;6,51463403;0,98254755
20405P129L;DRE MARITIME;IEPP VO NORD;EPL JULIUS DOPFNER;MOMEHOUNKPATI;6,510271667;1,530788333
20609P082C;DRE MARITIME;IEPP ZIO CENTRE;EPC DEDEKE;VILLEDETSEVIE;6,508417;1,194156
20101P097C;DRE MARITIME;IEPP BAS MONO;EPC AVOUYI KOPE;AFAGNA;6,503105;1,616136
20609P098C;DRE MARITIME;IEPP ZIO CENTRE;EPE HAVE;HAVE;6,498337;1,254276
20101P132C;DRE MARITIME;IEPP BAS MONO;EPC AFAGNAN GBLETA G/B;AFAGNA;6,49791;1,621588
20609P083C;DRE MARITIME;IEPP ZIO CENTRE;EPC GATI CENTRE;GATI-SOUN;6,497487;1,323441
20101P090C;DRE MARITIME;IEPP BAS MONO;EPC AFAGNAN GBLETA G/A;AFAGNA;6,49729;1,620242
20101P113L;DRE MARITIME;IEPP BAS MONO;EPL COSMOS;AFAGNA;6,497114;1,623584
20101P092C;DRE MARITIME;IEPP BAS MONO;EPC AGBETIKO;AGBETIKO;6,496751;1,711911
20101P130L;DRE MARITIME;IEPP BAS MONO;EPL LE BON BERGER;AFAGNA;6,496743333;1,61911
20101P115L;DRE MARITIME;IEPP BAS MONO;EPL GUIDE;AFAGNA;6,495852;1,628636
20101P119L;DRE MARITIME;IEPP BAS MONO;EPL RENOUVEAU;AFAGNAGAN;6,495307;1,627707
20609P086C;DRE MARITIME;IEPP ZIO CENTRE;EPC HAVE;HAVE;6,495116;1,253757
20101P089C;DRE MARITIME;IEPP BAS MONO;EPC AFAGNAGAN G/A;AFAGNAGAN;6,48875;1,637468
20101P131C;DRE MARITIME;IEPP BAS MONO;EPC AFAGNAGAN G/B;AFAGNAGAN;6,488582;1,637526
20405P117C;DRE MARITIME;IEPP VO NORD;EPE AME ZION;DZEKPOHAGOU;6,486271667;1,559815
20202P100C;DRE MARITIME;IEPP AVE;EPC ANA;ABLAME;6,485979;0,954013
20405P107C;DRE MARITIME;IEPP VO NORD;EPC DZREKPO HAGOU;DZEKPOHAGOU;6,483434;1,565663
20609P145C;DRE MARITIME;IEPP ZIO CENTRE;EPCGBLAINVIE TSATI;GBLAINVIE;6,483131667;1,098505
20609P087C;DRE MARITIME;IEPP ZIO CENTRE;EPC KODZO;KODZO;6,478095;1,248594
20609P080C;DRE MARITIME;IEPP ZIO CENTRE;EPC BOLOU KLOKPOE;KLOKPOE;6,475647;1,07207
20202P146L;DRE MARITIME;IEPP AVE;EPL GROUPE SCOLAIRE MOKPOKPO;ASSAHOUN;6,47272;0,934447
20101P099C;DRE MARITIME;IEPP BAS MONO;EPC LOGOWOME;LOGOWOME;6,47251;1,66641
20405P102C;DRE MARITIME;IEPP VO NORD;EPC ATSETI;ATSETI;6,469691667;1,529638333
20405P113C;DRE MARITIME;IEPP VO NORD;EPC MOME HOUNKPATI;MOMEHOUNKPATI;6,468591667;1,556415
20405P122L;DRE MARITIME;IEPP VO NORD;EPL BONNE CARRIERE;DZREKPOCENTRE;6,468403;1,568154
20405P108C;DRE MARITIME;IEPP VO NORD;EPC GNITAVEGLO;DAGBATI;6,468155;1,506698
20101P101C;DRE MARITIME;IEPP BAS MONO;EPC SAGAPEME;AFAGNA;6,461423;1,617638
20202P115C;DRE MARITIME;IEPP AVE;EPE ASSAHOUN;ASSAHOUN;6,455661;0,909079
20202P109C;DRE MARITIME;IEPP AVE;EPC MARIE REINE ASSAHOUN;ABLAME;6,455521;0,914913
20202P110C;DRE MARITIME;IEPP AVE;EPC NDA ASSAHOUN;ABLAME;6,453481;0,912017
20609P090C;DRE MARITIME;IEPP ZIO CENTRE;EPC MGR STREIBLER;GBLAINVIE;6,453041667;1,172571667
20406P109C;DRE MARITIME;IEPP VO SUD;EPC GNITA;NYITA;6,452218;1,457347
20609P097C;DRE MARITIME;IEPP ZIO CENTRE;EPE BOLOU KPETA;ADATO;6,451105;1,094244
20609P084C;DRE MARITIME;IEPP ZIO CENTRE;EPC GBATOPE;GBATOPE;6,448807;1,263172
20202P122L;DRE MARITIME;IEPP AVE;EPL LE MILLENIUM;APEYEME;6,447611;0,918806
20609P135L;DRE MARITIME;IEPP ZIO CENTRE;EPL LA BENEDICTION;VILLEDETSEVIE;6,447503333;1,21029
20101P100C;DRE MARITIME;IEPP BAS MONO;EPC MASSEDA;ATTITOGON;6,447389;1,67242
20405P118C;DRE MARITIME;IEPP VO NORD;EPE ATSANSI;ATSANSI;6,444718333;1,5491
20609P088C;DRE MARITIME;IEPP ZIO CENTRE;EPC KPALI DEVE;VILLEDETSEVIE;6,44376;1,20864
20609P085C;DRE MARITIME;IEPP ZIO CENTRE;EPC GBLAINVIE;GBLAINVIE;6,443083;1,193466
20609P079C;DRE MARITIME;IEPP ZIO CENTRE;EPC ALOKOEGBE;ALOKOEGBE;6,442682;1,087125
20609P103L;DRE MARITIME;IEPP ZIO CENTRE;EPL BAOBAB;VILLEDETSEVIE;6,43883;1,20784
20609P138L;DRE MARITIME;IEPP ZIO CENTRE;EPL SOPHIA;VILLEDETSEVIE;6,43867;1,21101
20609P151L;DRE MARITIME;IEPP ZIO CENTRE;EPL LA REUSSITE;VILLEDETSEVIE;6,434911667;1,204676667
20609P081C;DRE MARITIME;IEPP ZIO CENTRE;EPC DAVEDI;DAVEDI;6,434452;1,274774
20609P133C;DRE MARITIME;IEPP ZIO CENTRE;EPE PENTECOTISTE DE CANAAN;BOLOUGAN;6,434373;1,153801
20202P107C;DRE MARITIME;IEPP AVE;EPC KEVE;KEVE;6,43397;0,923629
20609P120L;DRE MARITIME;IEPP ZIO CENTRE;EPL SAINTE RITA;VILLEDETSEVIE;6,43388;1,20732
20405P133P;DRE MARITIME;IEPP VO NORD;EPE METHODISTE KOUSSIN;VOATTIVEKOSSIDAME;6,433445;1,49867
20609P115L;DRE MARITIME;IEPP ZIO CENTRE;EPL LA PROMESSE;VILLEDETSEVIE;6,4332;1,22051
20609P132C;DRE MARITIME;IEPP ZIO CENTRE;EPE A/D TEMPLE DES VAINQUEURS;VILLEDETSEVIE;6,432018333;1,215595
20202P101C;DRE MARITIME;IEPP AVE;EPC ANDO CENTRE;AKEPE;6,43193377;0,88429036
20609P147C;DRE MARITIME;IEPP ZIO CENTRE;EPE TSEVIE G/B;VILLEDETSEVIE;6,430761667;1,213611667
20609P099C;DRE MARITIME;IEPP ZIO CENTRE;EPE TSEVIE G/A;VILLEDETSEVIE;6,430557;1,213201
